train_loss,valid_loss,train_accuracy,valid_accuracy,epoch
1.3466644438171387,1.6823765022277832,"tensor(0.3849, device='cuda:0', dtype=torch.float64)",0.3779,84
1.3418135931396484,1.682060636138916,"tensor(0.3874, device='cuda:0', dtype=torch.float64)",0.387,85
1.336588062286377,1.6675247226715089,"tensor(0.3885, device='cuda:0', dtype=torch.float64)",0.3889,86
1.3330646670532227,1.6647648803710937,"tensor(0.3895, device='cuda:0', dtype=torch.float64)",0.3885,87
1.3265344004821777,1.6572719211578368,"tensor(0.3938, device='cuda:0', dtype=torch.float64)",0.3936,88
1.322019804534912,1.6534060842514038,"tensor(0.3953, device='cuda:0', dtype=torch.float64)",0.3918,89
1.3207699475097656,1.6484333686828614,"tensor(0.3972, device='cuda:0', dtype=torch.float64)",0.3955,90
1.3147035119628907,1.6420355834960938,"tensor(0.3990, device='cuda:0', dtype=torch.float64)",0.3934,91
1.3097469120788574,1.6410608545303345,"tensor(0.4015, device='cuda:0', dtype=torch.float64)",0.3958,92
1.306570264892578,1.6370602422714233,"tensor(0.4012, device='cuda:0', dtype=torch.float64)",0.3974,93
1.3025064826965331,1.6231030841827392,"tensor(0.4032, device='cuda:0', dtype=torch.float64)",0.4005,94
1.2989507736206054,1.6200604598999024,"tensor(0.4056, device='cuda:0', dtype=torch.float64)",0.4074,95
1.2944709698486327,1.6163952526092529,"tensor(0.4082, device='cuda:0', dtype=torch.float64)",0.4047,96
1.2892040962219238,1.61336993560791,"tensor(0.4086, device='cuda:0', dtype=torch.float64)",0.406,97
1.2884364358520508,1.60874809551239,"tensor(0.4118, device='cuda:0', dtype=torch.float64)",0.4109,98
1.2852649349975587,1.6047257459640503,"tensor(0.4093, device='cuda:0', dtype=torch.float64)",0.4099,99
1.2794395059204102,1.6000626043319701,"tensor(0.4152, device='cuda:0', dtype=torch.float64)",0.411,100
1.2778547256469726,1.5988631021499633,"tensor(0.4175, device='cuda:0', dtype=torch.float64)",0.4127,101
1.272862129058838,1.593848920249939,"tensor(0.4184, device='cuda:0', dtype=torch.float64)",0.4187,102
1.2708959045410155,1.5821784185409546,"tensor(0.4198, device='cuda:0', dtype=torch.float64)",0.4214,103
1.2649562033081054,1.5816724023818969,"tensor(0.4216, device='cuda:0', dtype=torch.float64)",0.4204,104
1.2656268881225585,1.5887061237335205,"tensor(0.4208, device='cuda:0', dtype=torch.float64)",0.4176,105
1.2618365521240233,1.5779185501098634,"tensor(0.4207, device='cuda:0', dtype=torch.float64)",0.4256,106
1.2586239234924317,1.5689993572235108,"tensor(0.4268, device='cuda:0', dtype=torch.float64)",0.4217,107
1.254969552001953,1.575285947036743,"tensor(0.4259, device='cuda:0', dtype=torch.float64)",0.4223,108
1.2530529579162597,1.5614045013427735,"tensor(0.4258, device='cuda:0', dtype=torch.float64)",0.435,109
1.2502855854797363,1.5620176362991334,"tensor(0.4304, device='cuda:0', dtype=torch.float64)",0.4316,110
1.246091035003662,1.5561356750488282,"tensor(0.4291, device='cuda:0', dtype=torch.float64)",0.4339,111
1.245765302734375,1.5519379039764405,"tensor(0.4316, device='cuda:0', dtype=torch.float64)",0.4317,112
1.2399771188354491,1.5522296129226685,"tensor(0.4348, device='cuda:0', dtype=torch.float64)",0.4366,113
1.2397718241882325,1.5490087797164918,"tensor(0.4343, device='cuda:0', dtype=torch.float64)",0.4365,114
1.2387224742126466,1.546147611808777,"tensor(0.4326, device='cuda:0', dtype=torch.float64)",0.4345,115
1.2329434831237793,1.539247272491455,"tensor(0.4367, device='cuda:0', dtype=torch.float64)",0.4346,116
1.2316525825500488,1.539978352355957,"tensor(0.4381, device='cuda:0', dtype=torch.float64)",0.4341,117
1.2311234623718261,1.5323145280838013,"tensor(0.4365, device='cuda:0', dtype=torch.float64)",0.4412,118
1.2280998063659667,1.5348876876831055,"tensor(0.4395, device='cuda:0', dtype=torch.float64)",0.4389,119
1.2241244960021973,1.5253751537322997,"tensor(0.4444, device='cuda:0', dtype=torch.float64)",0.4396,120
1.2215308206176758,1.5280855289459228,"tensor(0.4427, device='cuda:0', dtype=torch.float64)",0.4397,121
1.2211214930725098,1.522901559829712,"tensor(0.4458, device='cuda:0', dtype=torch.float64)",0.4417,122
1.2166826559448243,1.5203740299224853,"tensor(0.4453, device='cuda:0', dtype=torch.float64)",0.4458,123
